caption,float32_rank,turboquant2_rank,rank_delta
A man walks in a street,7558,27966,20408
People are clapping their hands after the speech.,2574,22850,20276
Two dogs retreiving a large stick of wood,642,18911,18269
A baby wearing a nice clothes,1062,17866,16804
A group of older individuals crowd around a table which has an individual in yellow behind it.,4841,21458,16617
A man in a green shirt and gray pants walking on a street and passing by a store.,4081,20089,16008
Two men facing off to waiting for game to begin.,1765,17341,15576
A boy with a blue shirt on holding a white ball with colorful circles under his arm.,5973,21063,15090
A woman in a pink shirt is taking a picture.,81,13439,13358
Two race cars burn rubber as spectators watch.,56,11209,11153
A boy in a blue shirt is jumping backwards over a horizontal pool.,1133,11510,10377
A family stops on a busy street to get something to drink.,234,10502,10268
"Man wearing a baseball cap, eyeglasses, and headphones.",95,10038,9943
Older man baiting his hook before tossing it out to see what he can catch,65,9694,9629
Two soccer teams are on the field.,322,9557,9235
A bike racer races down the pavement.,653,9700,9047
Three men are working on scaffolding on the side of a building.,258,9036,8778
A man is walking down the road while reading a paper.,1303,9997,8694
A man is sitting and using his cellular phone.,338,8825,8487
People walking down a ramp in an underground tunnel.,24,8489,8465
All of the people watch as the boy hits the ball across the park.,1242,9529,8287
People stand on a sidewalk outside of retail stores.,4341,12606,8265
"Near snowflake sign, man sits while another stands wearing badge and headphones.",10057,18233,8176
A family of four stops to chat with a man wearing orange shoes on a busy street.,415,8516,8101
A woman stands on a city street with an apron and basket on her head.,336,8392,8056
Construction workers do maintenance on a train station stop.,779,8771,7992
A little boy trying to climb up.,390,8361,7971
Many men are wearing uniforms with caps.,15,7921,7906
Musician with fender guitar looks on before his next performance.,458,8227,7769
A group of people walking through the street.,1122,8810,7688
A man and a woman hugging.,144,7600,7456
A construction worker creates a cloud of dust as he works.,34,7460,7426
A man cutting up some food on a yellow board.,1078,7801,6723
A man in a pink shirt is crossing his legs.,8451,15069,6618
The child is hanging upside down with his legs over a pole.,59,6580,6521
A vehicle crowded with people.,916,7402,6486
Three people in an open outdoor area have just landed from a skydiving drip.,134,6594,6460
Horse number 8 is racing,7,6356,6349
A girl draws with crayons.,46,6279,6233
An exotic dancer making a pose.,831,6985,6154
A man and a woman are sitting in a rowboat on calm water.,7,6094,6087
People walking up a narrow set of wooden stairs.,128,5992,5864
The man in the striped shirt is taking a picture of the other man in gray.,2109,7951,5842
The man with the red shirt is holding a basketball and is in front of a basketball hoop.,288,6083,5795
People walking outside near a set of buildings and a city street.,244,6035,5791
"A hockey game faceoff, always ends in a rumble.",28,5767,5739
High class group of business people including older men have drinks in park.,118,5785,5667
"A young girl wearing blue jeans, a t-shirt, and pink shoes is playing with bubbles.",23,5574,5551
Two women walking across a footbridge.,5182,10569,5387
A brown dog is running between two gray poles that are very close together.,12,5255,5243
