method,bits,task,r10_mean,r10_std,r1_mean
faiss_pq,1,T1_text2image,0.3372,0.01314153720079959,0.1102
faiss_pq,1,T2_image2text,0.488,0.020772578077840984,0.16040000000000001
faiss_pq,1,T3_text2text,0.40659999999999996,0.0193209730603818,0.1776
faiss_pq,1,T4_image2image,0.8513999999999999,0.012601587201618705,0.3598
faiss_pq,2,T1_text2image,0.4676,0.007469939758793207,0.1854
faiss_pq,2,T2_image2text,0.6734,0.01803607496103294,0.31379999999999997
faiss_pq,2,T3_text2text,0.4992,0.01860645049438506,0.263
faiss_pq,2,T4_image2image,0.9714,0.008080841540334798,0.5568
faiss_pq,4,T1_text2image,0.4932,0.015865055940651473,0.213
faiss_pq,4,T2_image2text,0.7356,0.005983310120660632,0.3992
faiss_pq,4,T3_text2text,0.525,0.015280706789936137,0.2886
faiss_pq,4,T4_image2image,0.9944,0.0027018512172212444,0.7188
faiss_pq,8,T1_text2image,0.4974,0.014117365193264642,0.2124
faiss_pq,8,T2_image2text,0.7404,0.0066181568431097244,0.4042
faiss_pq,8,T3_text2text,0.5282,0.011344602240713427,0.28700000000000003
faiss_pq,8,T4_image2image,0.9996,0.0005477225575051776,0.901
polarquant,1,T1_text2image,0.13140000000000002,0.00559464029227975,0.0346
polarquant,1,T2_image2text,0.22080000000000002,0.018713631395322495,0.0608
polarquant,1,T3_text2text,0.4808,0.015122830422906953,0.25
polarquant,1,T4_image2image,0.841,0.010049875621120894,0.3866
polarquant,2,T1_text2image,0.3494,0.01532318504750235,0.1206
polarquant,2,T2_image2text,0.5478,0.013367871932360827,0.22480000000000003
polarquant,2,T3_text2text,0.517,0.012288205727444481,0.27480000000000004
polarquant,2,T4_image2image,0.9836,0.0016733200530681743,0.6235999999999999
polarquant,3,T1_text2image,0.44559999999999994,0.020755722102591377,0.184
polarquant,3,T2_image2text,0.6828000000000001,0.010894952959971858,0.3412
polarquant,3,T3_text2text,0.5248,0.014669696656713815,0.2834
polarquant,3,T4_image2image,0.9987999999999999,0.0008366600265340608,0.7836000000000001
polarquant,4,T1_text2image,0.483,0.020174241001832,0.20700000000000002
polarquant,4,T2_image2text,0.729,0.009899494936611661,0.391
polarquant,4,T3_text2text,0.5248,0.013255187663703594,0.2866
polarquant,4,T4_image2image,1.0,0.0,0.8794000000000001
qjl,1,T1_text2image,0.15360000000000001,0.005856620185738533,0.0416
qjl,1,T2_image2text,0.25460000000000005,0.010830512453249855,0.0764
qjl,1,T3_text2text,0.4928,0.01782414093301556,0.25880000000000003
qjl,1,T4_image2image,0.8886,0.004037325847637274,0.43760000000000004
qjl,2,T1_text2image,0.248,0.011726039399558576,0.0786
qjl,2,T2_image2text,0.404,0.01086278049120021,0.149
qjl,2,T3_text2text,0.51,0.011113055385446421,0.2738
qjl,2,T4_image2image,0.9583999999999999,0.0032093613071762558,0.5644
qjl,3,T1_text2image,0.3116,0.01035857133006285,0.1036
qjl,3,T2_image2text,0.4998,0.013217412757419658,0.1966
qjl,3,T3_text2text,0.5206000000000001,0.012817956155331501,0.2802
qjl,3,T4_image2image,0.9812,0.0032710854467591748,0.6234
qjl,4,T1_text2image,0.3504,0.009126883367283694,0.1274
qjl,4,T2_image2text,0.5562,0.009576011695899254,0.231
qjl,4,T3_text2text,0.5236000000000001,0.013011533345459328,0.2824
qjl,4,T4_image2image,0.9890000000000001,0.0009999999999999857,0.6652
qjl,8,T1_text2image,0.41559999999999997,0.02168640126899804,0.1598
qjl,8,T2_image2text,0.6454000000000001,0.013390294993016416,0.3124
qjl,8,T3_text2text,0.529,0.013564659966250543,0.2858
qjl,8,T4_image2image,0.998,0.0015811388300841903,0.7478
turboquant,1,T1_text2image,0.15360000000000001,0.005856620185738533,0.0416
turboquant,1,T2_image2text,0.25460000000000005,0.010830512453249855,0.0764
turboquant,1,T3_text2text,0.4928,0.01782414093301556,0.25880000000000003
turboquant,1,T4_image2image,0.8886,0.004037325847637274,0.43760000000000004
turboquant,2,T1_text2image,0.1574,0.008203657720797484,0.0424
turboquant,2,T2_image2text,0.2634,0.008561541917201605,0.0726
turboquant,2,T3_text2text,0.4418,0.014446452851824923,0.2072
turboquant,2,T4_image2image,0.6858000000000001,0.027252522818997853,0.24900000000000003
turboquant,3,T1_text2image,0.28979999999999995,0.019162463307205568,0.0998
turboquant,3,T2_image2text,0.4888,0.010134100848126595,0.1874
turboquant,3,T3_text2text,0.48919999999999997,0.008074651695274541,0.2434
turboquant,3,T4_image2image,0.8593999999999999,0.00955510334847303,0.39059999999999995
turboquant,4,T1_text2image,0.425,0.017190113437671076,0.1612
turboquant,4,T2_image2text,0.66,0.012144957801491127,0.3218
turboquant,4,T3_text2text,0.517,0.012429802894656035,0.2722
turboquant,4,T4_image2image,0.9776,0.003847076812334296,0.5864
uncompressed,32,T1_text2image,0.49800000000000005,0.01410673597966589,0.21339999999999998
uncompressed,32,T2_image2text,0.7414,0.00502991053598372,0.40759999999999996
uncompressed,32,T3_text2text,0.5282,0.01287245120402481,0.28759999999999997
uncompressed,32,T4_image2image,1.0,0.0,1.0
