method,bits,seed,bytes_per_vector,index_bytes,compress_seconds,query_latency_ms
turboquant,2,0,167.875,33929340,1.9596051249536686,0.9896214547916315
turboquant,2,1,167.875,33929340,2.807178875023965,5.150229790015146
turboquant,2,2,167.875,33929340,1.910897042020224,6.760935000202153
turboquant,2,3,167.875,33929340,2.931265583029017,4.042952290037647
turboquant,2,4,167.875,33929340,4.625592208001763,3.526213959848974
turboquant,3,0,199.875,33929340,2.476672666030936,1.761227915121708
turboquant,3,1,199.875,33929340,1.646856207982637,1.4800837499205954
turboquant,3,2,199.875,33929340,3.1776157909771428,2.1814199999789707
turboquant,3,3,199.875,33929340,1.579461082990747,4.827705000061542
turboquant,3,4,199.875,33929340,1.7558947500074282,1.7697706251055934
turboquant,4,0,263.75,33929340,2.494483834016137,5.849326039897278
turboquant,4,1,263.75,33929340,1.51002275000792,1.4386695850407705
turboquant,4,2,263.75,33929340,2.0124764590291306,4.212672709836625
turboquant,4,3,263.75,33929340,1.7426284589455463,1.6339431249070913
turboquant,4,4,263.75,33929340,3.618281915958505,1.5841783350333571
qjl,2,0,68.0,2108952,0.8111976249492727,1.680554375052452
qjl,2,1,68.0,2108952,0.44739783299155533,2.1651108350488357
qjl,2,2,68.0,2108952,1.2847465830272995,0.5457139600184746
qjl,2,3,68.0,2108952,0.43859233299735934,0.3678997899987735
qjl,2,4,68.0,2108952,0.38690962502732873,0.6925706248148344
qjl,3,0,68.0,2108952,0.7834692499600351,1.0826535400701687
qjl,3,1,68.0,2108952,0.4324682089500129,0.39900770992971957
qjl,3,2,68.0,2108952,0.95910245901905,0.5520383300608955
qjl,3,3,68.0,2108952,0.5297154160216451,0.6612087500980124
qjl,3,4,68.0,2108952,0.5521353750373237,0.568318334990181
qjl,4,0,68.0,2108952,0.8861998339998536,0.5936770801781677
qjl,4,1,68.0,2108952,0.9125532089965418,1.0245860400027595
qjl,4,2,68.0,2108952,1.04561879101675,0.8497268747305498
qjl,4,3,68.0,2108952,0.6376674589700997,0.9646518749650568
qjl,4,4,68.0,2108952,0.5608215830288827,0.509761459834408
polarquant,2,0,131.875,31820364,1.4312851669965312,1.646828750090208
polarquant,2,1,131.875,31820364,1.2519309589988552,2.472357295046095
polarquant,2,2,131.875,31820364,1.43694416701328,6.229137709888164
polarquant,2,3,131.875,31820364,1.3480040419963188,2.0750164552009664
polarquant,2,4,131.875,31820364,1.4068028329638764,2.81059645494679
polarquant,3,0,195.75,31820364,3.8214659999939613,0.8823295801994391
polarquant,3,1,195.75,31820364,1.9455214170156978,1.1551379147567786
polarquant,3,2,195.75,31820364,1.2261903749895282,1.847553749976214
polarquant,3,3,195.75,31820364,1.5073908329941332,1.9927714549703524
polarquant,3,4,195.75,31820364,3.462625999993179,1.347312915022485
polarquant,4,0,259.625,31820364,1.1208181249676272,0.8833922949270345
polarquant,4,1,259.625,31820364,3.0215884579811245,1.9826564600225538
polarquant,4,2,259.625,31820364,3.350653333007358,3.0408981250366196
polarquant,4,3,259.625,31820364,2.4852929590269923,1.0975968750426546
polarquant,4,4,259.625,31820364,3.0740754589787684,1.277961875020992
